source,target,weight
work with respect for own safety,prevent fire in a performance environment,13
work with respect for own safety,promote yourself,6
work with respect for own safety,set up equipment in a timely manner,11
work with respect for own safety,store performance equipment,7
work with respect for own safety,work safely with chemicals,11
work with respect for own safety,work safely with machines,15
work with respect for own safety,work with broad variety of personalities,6
adapt existing designs to changed circumstances,analyse a script,8
adapt existing designs to changed circumstances,analyse score,8
adapt existing designs to changed circumstances,analyse the artistic concept based on stage actions,8
adapt existing designs to changed circumstances,analyse the scenography,8
adapt existing designs to changed circumstances,coach staff for running the performance,8
adapt existing designs to changed circumstances,communicate during show,8
adapt existing designs to changed circumstances,develop design concept,8
adapt existing designs to changed circumstances,develop design ideas cooperatively,8
adapt existing designs to changed circumstances,monitor developments in technology used for design,8
adapt existing designs to changed circumstances,monitor sociological trends,8
adapt existing designs to changed circumstances,perform quality control of design during a run,8
adapt existing designs to changed circumstances,present detailed design proposals,8
adapt existing designs to changed circumstances,propose improvements to artistic production,8
adapt existing designs to changed circumstances,research new ideas,8
adapt existing designs to changed circumstances,update design results during rehearsals,8
adapt existing designs to changed circumstances,verify feasibility,7
analyse a script,analyse score,9
analyse a script,analyse the artistic concept based on stage actions,9
analyse a script,analyse the scenography,10
analyse a script,coach staff for running the performance,8
analyse a script,communicate during show,8
analyse a script,consult with production director,11
analyse a script,develop design concept,10
analyse a script,develop design ideas cooperatively,8
analyse a script,film production process,7
analyse a script,follow directions of the artistic director,9
analyse a script,monitor developments in technology used for design,8
analyse a script,monitor sociological trends,8
analyse a script,perform quality control of design during a run,8
analyse a script,personal directing styles,6
analyse a script,present detailed design proposals,8
analyse a script,propose improvements to artistic production,8
analyse a script,research new ideas,8
analyse a script,study media sources,12
analyse a script,update design results during rehearsals,8
analyse a script,verify feasibility,7
analyse score,analyse the artistic concept based on stage actions,9
analyse score,analyse the scenography,9
analyse score,coach staff for running the performance,8
analyse score,communicate during show,8
analyse score,develop design concept,8
analyse score,develop design ideas cooperatively,8
analyse score,monitor developments in technology used for design,8
analyse score,monitor sociological trends,8
analyse score,perform quality control of design during a run,8
analyse score,present detailed design proposals,8
analyse score,propose improvements to artistic production,8
analyse score,research new ideas,8
analyse score,update design results during rehearsals,8
analyse score,verify feasibility,7
analyse the artistic concept based on stage actions,analyse the scenography,9
analyse the artistic concept based on stage actions,coach staff for running the performance,8
analyse the artistic concept based on stage actions,communicate during show,8
analyse the artistic concept based on stage actions,develop design concept,8
analyse the artistic concept based on stage actions,develop design ideas cooperatively,8
analyse the artistic concept based on stage actions,monitor developments in technology used for design,8
analyse the artistic concept based on stage actions,monitor sociological trends,8
analyse the artistic concept based on stage actions,perform quality control of design during a run,8
analyse the artistic concept based on stage actions,present detailed design proposals,8
analyse the artistic concept based on stage actions,propose improvements to artistic production,8
analyse the artistic concept based on stage actions,research new ideas,8
analyse the artistic concept based on stage actions,update design results during rehearsals,8
analyse the artistic concept based on stage actions,verify feasibility,7
analyse the scenography,coach staff for running the performance,8
analyse the scenography,communicate during show,8
analyse the scenography,develop design concept,8
analyse the scenography,develop design ideas cooperatively,8
analyse the scenography,monitor developments in technology used for design,8
analyse the scenography,monitor sociological trends,8
analyse the scenography,perform quality control of design during a run,8
analyse the scenography,present detailed design proposals,8
analyse the scenography,propose improvements to artistic production,8
analyse the scenography,research new ideas,8
analyse the scenography,update design results during rehearsals,8
analyse the scenography,verify feasibility,7
coach staff for running the performance,communicate during show,8
coach staff for running the performance,develop design concept,8
coach staff for running the performance,develop design ideas cooperatively,8
coach staff for running the performance,monitor developments in technology used for design,8
coach staff for running the performance,monitor sociological trends,8
coach staff for running the performance,perform quality control of design during a run,8
coach staff for running the performance,present detailed design proposals,8
coach staff for running the performance,propose improvements to artistic production,8
coach staff for running the performance,research new ideas,8
coach staff for running the performance,update design results during rehearsals,8
coach staff for running the performance,verify feasibility,7
communicate during show,develop design concept,8
communicate during show,develop design ideas cooperatively,8
communicate during show,manage personal professional development,6
communicate during show,monitor developments in technology used for design,8
communicate during show,monitor sociological trends,8
communicate during show,perform quality control of design during a run,13
communicate during show,present detailed design proposals,8
communicate during show,propose improvements to artistic production,8
communicate during show,research new ideas,8
communicate during show,update design results during rehearsals,8
communicate during show,verify feasibility,7
develop design concept,develop design ideas cooperatively,10
develop design concept,monitor developments in technology used for design,10
develop design concept,monitor sociological trends,9
develop design concept,perform quality control of design during a run,9
develop design concept,present detailed design proposals,10
develop design concept,propose improvements to artistic production,8
develop design concept,research new ideas,8
develop design concept,update design results during rehearsals,8
develop design concept,verify feasibility,7
develop design ideas cooperatively,monitor developments in technology used for design,10
develop design ideas cooperatively,monitor sociological trends,8
develop design ideas cooperatively,perform quality control of design during a run,9
develop design ideas cooperatively,present detailed design proposals,9
develop design ideas cooperatively,propose improvements to artistic production,8
develop design ideas cooperatively,research new ideas,8
develop design ideas cooperatively,update design results during rehearsals,8
develop design ideas cooperatively,verify feasibility,7
monitor developments in technology used for design,monitor sociological trends,8
monitor developments in technology used for design,perform quality control of design during a run,9
monitor developments in technology used for design,present detailed design proposals,9
monitor developments in technology used for design,propose improvements to artistic production,8
monitor developments in technology used for design,research new ideas,8
monitor developments in technology used for design,update design results during rehearsals,8
monitor developments in technology used for design,verify feasibility,7
monitor sociological trends,perform quality control of design during a run,8
monitor sociological trends,present detailed design proposals,10
monitor sociological trends,propose improvements to artistic production,8
monitor sociological trends,research new ideas,9
monitor sociological trends,update design results during rehearsals,8
monitor sociological trends,verify feasibility,7
perform quality control of design during a run,present detailed design proposals,9
perform quality control of design during a run,propose improvements to artistic production,8
perform quality control of design during a run,research new ideas,8
perform quality control of design during a run,update design results during rehearsals,8
perform quality control of design during a run,verify feasibility,7
present detailed design proposals,propose improvements to artistic production,8
present detailed design proposals,research new ideas,9
present detailed design proposals,update design results during rehearsals,8
present detailed design proposals,verify feasibility,7
propose improvements to artistic production,research new ideas,8
propose improvements to artistic production,update design results during rehearsals,8
propose improvements to artistic production,verify feasibility,7
research new ideas,update design results during rehearsals,8
research new ideas,verify feasibility,7
update design results during rehearsals,verify feasibility,7
adapt instruction to labour market,adapt teaching to student's capabilities,18
adapt instruction to labour market,apply intercultural teaching strategies,20
adapt instruction to labour market,apply teaching strategies,20
adapt instruction to labour market,assess students,19
adapt instruction to labour market,assessment processes,18
adapt instruction to labour market,assign homework,13
adapt instruction to labour market,assist students in their learning,18
adapt instruction to labour market,assist students with equipment,11
adapt instruction to labour market,curriculum objectives,19
adapt instruction to labour market,develop course outline,14
adapt instruction to labour market,facilitate teamwork between students,14
adapt instruction to labour market,give constructive feedback,21
adapt instruction to labour market,guarantee students' safety,18
adapt instruction to labour market,instruct on safety measures,6
adapt instruction to labour market,learning difficulties,13
adapt instruction to labour market,maintain students' discipline,15
adapt instruction to labour market,manage student relationships,16
adapt instruction to labour market,monitor developments in field of expertise,17
adapt instruction to labour market,observe student's progress,19
adapt instruction to labour market,perform classroom management,12
adapt instruction to labour market,prepare lesson content,18
adapt instruction to labour market,teamwork principles,13
adapt instruction to labour market,work in vocational school,16
adapt teaching to student's capabilities,adapt teaching to target group,10
adapt teaching to student's capabilities,apply intercultural teaching strategies,60
adapt teaching to student's capabilities,apply teaching strategies,78
adapt teaching to student's capabilities,assess students,61
adapt teaching to student's capabilities,assessment processes,35
adapt teaching to student's capabilities,assign homework,36
adapt teaching to student's capabilities,assist in children's development of basic personal skills,6
adapt teaching to student's capabilities,assist students in their learning,72
adapt teaching to student's capabilities,assist students with equipment,27
adapt teaching to student's capabilities,bring out performers’ artistic potential,6
adapt teaching to student's capabilities,children's physical development,8
adapt teaching to student's capabilities,compile course material,26
adapt teaching to student's capabilities,consult students on learning content,7
adapt teaching to student's capabilities,control the performance of the vehicle,6
adapt teaching to student's capabilities,curriculum objectives,65
adapt teaching to student's capabilities,demonstrate when teaching,53
adapt teaching to student's capabilities,develop a coaching style,9
adapt teaching to student's capabilities,develop course outline,37
adapt teaching to student's capabilities,drive vehicles,6
adapt teaching to student's capabilities,employ pedagogic strategies to facilitate creative engagement,6
adapt teaching to student's capabilities,encourage students to acknowledge their achievements,33
adapt teaching to student's capabilities,ensure vehicle operability,6
adapt teaching to student's capabilities,facilitate teamwork between students,20
adapt teaching to student's capabilities,give constructive feedback,80
adapt teaching to student's capabilities,guarantee students' safety,76
adapt teaching to student's capabilities,health and safety measures in transportation,9
adapt teaching to student's capabilities,implement care programmes for children,9
adapt teaching to student's capabilities,instruct on safety measures,6
adapt teaching to student's capabilities,interpret traffic signals,7
adapt teaching to student's capabilities,learning difficulties,43
adapt teaching to student's capabilities,liaise with educational staff,23
adapt teaching to student's capabilities,liaise with educational support staff,30
adapt teaching to student's capabilities,maintain relations with children's parents,8
adapt teaching to student's capabilities,maintain safe working conditions in performing arts,8
adapt teaching to student's capabilities,maintain students' discipline,44
adapt teaching to student's capabilities,manage children's problems,10
adapt teaching to student's capabilities,manage student relationships,60
adapt teaching to student's capabilities,mechanical components of vehicles,6
adapt teaching to student's capabilities,monitor developments in field of expertise,47
adapt teaching to student's capabilities,monitor student's behaviour,23
adapt teaching to student's capabilities,observe student's progress,76
adapt teaching to student's capabilities,park vehicles,6
adapt teaching to student's capabilities,perform classroom management,53
adapt teaching to student's capabilities,perform defensive driving,6
adapt teaching to student's capabilities,post-secondary school procedures,19
adapt teaching to student's capabilities,prepare lesson content,64
adapt teaching to student's capabilities,provide lesson materials,18
adapt teaching to student's capabilities,road traffic laws,6
adapt teaching to student's capabilities,secondary school procedures,21
adapt teaching to student's capabilities,show consideration for student's situation,13
adapt teaching to student's capabilities,teach driving practices,6
adapt teaching to student's capabilities,teamwork principles,21
adapt teaching to student's capabilities,work in vocational school,16
apply intercultural teaching strategies,adapt teaching to target group,7
apply intercultural teaching strategies,apply teaching strategies,99
apply intercultural teaching strategies,assess students,97
apply intercultural teaching strategies,assessment processes,37
apply intercultural teaching strategies,assign homework,37
apply intercultural teaching strategies,assist in children's development of basic personal skills,6
apply intercultural teaching strategies,assist students in their learning,62
apply intercultural teaching strategies,assist students with equipment,40
apply intercultural teaching strategies,children's physical development,8
apply intercultural teaching strategies,compile course material,61
apply intercultural teaching strategies,curriculum objectives,96
apply intercultural teaching strategies,demonstrate when teaching,77
apply intercultural teaching strategies,develop course outline,75
apply intercultural teaching strategies,employ pedagogic strategies to facilitate creative engagement,6
apply intercultural teaching strategies,encourage students to acknowledge their achievements,15
apply intercultural teaching strategies,facilitate teamwork between students,23
apply intercultural teaching strategies,give constructive feedback,98
apply intercultural teaching strategies,guarantee students' safety,101
apply intercultural teaching strategies,implement care programmes for children,9
apply intercultural teaching strategies,instruct on safety measures,6
apply intercultural teaching strategies,learning difficulties,43
apply intercultural teaching strategies,liaise with educational staff,58
apply intercultural teaching strategies,liaise with educational support staff,66
apply intercultural teaching strategies,maintain relations with children's parents,7
apply intercultural teaching strategies,maintain students' discipline,44
apply intercultural teaching strategies,manage children's problems,9
apply intercultural teaching strategies,manage student relationships,54
apply intercultural teaching strategies,monitor developments in field of expertise,78
apply intercultural teaching strategies,monitor student's behaviour,21
apply intercultural teaching strategies,observe student's progress,65
apply intercultural teaching strategies,perform classroom management,87
apply intercultural teaching strategies,post-secondary school procedures,19
apply intercultural teaching strategies,prepare lesson content,97
apply intercultural teaching strategies,provide lesson materials,15
apply intercultural teaching strategies,secondary school procedures,20
apply intercultural teaching strategies,teamwork principles,20
apply intercultural teaching strategies,work in vocational school,17
apply intercultural teaching strategies,write work-related reports,37
apply teaching strategies,adapt teaching to target group,9
apply teaching strategies,assess students,101
apply teaching strategies,assessment processes,40
apply teaching strategies,assign homework,37
apply teaching strategies,assist in children's development of basic personal skills,6
apply teaching strategies,assist students in their learning,75
apply teaching strategies,assist students with equipment,44
apply teaching strategies,bring out performers’ artistic potential,6
apply teaching strategies,children's physical development,8
apply teaching strategies,compile course material,63
apply teaching strategies,consult students on learning content,7
apply teaching strategies,control the performance of the vehicle,6
apply teaching strategies,curriculum objectives,106
apply teaching strategies,demonstrate when teaching,90
apply teaching strategies,develop a coaching style,10
apply teaching strategies,develop course outline,77
apply teaching strategies,drive vehicles,6
apply teaching strategies,encourage students to acknowledge their achievements,32
apply teaching strategies,ensure vehicle operability,6
apply teaching strategies,facilitate teamwork between students,23
apply teaching strategies,give constructive feedback,120
apply teaching strategies,guarantee students' safety,116
apply teaching strategies,health and safety measures in transportation,9
apply teaching strategies,implement care programmes for children,9
apply teaching strategies,instruct on safety measures,6
apply teaching strategies,interpret traffic signals,7
apply teaching strategies,learning difficulties,43
apply teaching strategies,liaise with educational staff,59
apply teaching strategies,liaise with educational support staff,65
apply teaching strategies,maintain relations with children's parents,8
apply teaching strategies,maintain safe working conditions in performing arts,8
apply teaching strategies,maintain students' discipline,45
apply teaching strategies,manage children's problems,10
apply teaching strategies,manage student relationships,62
apply teaching strategies,mechanical components of vehicles,6
apply teaching strategies,monitor developments in field of expertise,84
apply teaching strategies,monitor student's behaviour,22
apply teaching strategies,observe student's progress,79
apply teaching strategies,park vehicles,6
apply teaching strategies,perform classroom management,93
apply teaching strategies,perform defensive driving,6
apply teaching strategies,post-secondary school procedures,19
apply teaching strategies,prepare lesson content,105
apply teaching strategies,provide lesson materials,21
apply teaching strategies,road traffic laws,6
apply teaching strategies,secondary school procedures,21
apply teaching strategies,show consideration for student's situation,11
apply teaching strategies,special needs education,6
apply teaching strategies,teach driving practices,6
apply teaching strategies,teamwork principles,22
apply teaching strategies,work in vocational school,17
apply teaching strategies,write work-related reports,37
assess students,adapt teaching to target group,7
assess students,assessment processes,42
assess students,assign homework,36
assess students,assist students in their learning,63
assess students,assist students with equipment,38
assess students,compile course material,61
assess students,curriculum objectives,97
assess students,demonstrate when teaching,78
assess students,develop course outline,77
assess students,employ pedagogic strategies to facilitate creative engagement,6
assess students,encourage students to acknowledge their achievements,17
assess students,facilitate teamwork between students,22
assess students,give constructive feedback,101
assess students,guarantee students' safety,105
assess students,implement care programmes for children,6
assess students,instruct on safety measures,6
assess students,learning difficulties,41
assess students,liaise with educational staff,58
assess students,liaise with educational support staff,65
assess students,maintain safe working conditions in performing arts,6
assess students,maintain students' discipline,41
assess students,manage children's problems,6
assess students,manage student relationships,52
assess students,monitor developments in field of expertise,77
assess students,monitor student's behaviour,20
assess students,observe student's progress,65
assess students,perform classroom management,86
assess students,post-secondary school procedures,19
assess students,prepare lesson content,97
assess students,provide lesson materials,18
assess students,secondary school procedures,19
assess students,show consideration for student's situation,7
assess students,teamwork principles,18
assess students,work in vocational school,17
assess students,write work-related reports,38
assessment processes,adapt teaching to target group,6
assessment processes,assign homework,16
assessment processes,assist students in their learning,33
assessment processes,assist students with equipment,22
assessment processes,compile course material,6
assessment processes,curriculum objectives,46
assessment processes,demonstrate when teaching,21
assessment processes,develop course outline,21
assessment processes,encourage students to acknowledge their achievements,13
assessment processes,facilitate teamwork between students,18
assessment processes,give constructive feedback,44
assessment processes,guarantee students' safety,43
assessment processes,implement care programmes for children,6
assessment processes,instruct on safety measures,6
assessment processes,learning difficulties,26
assessment processes,liaise with educational staff,6
assessment processes,liaise with educational support staff,11
assessment processes,maintain students' discipline,21
assessment processes,manage children's problems,6
assessment processes,manage student relationships,29
assessment processes,monitor developments in field of expertise,23
assessment processes,observe student's progress,36
assessment processes,perform classroom management,27
assessment processes,prepare lesson content,39
assessment processes,provide lesson materials,15
assessment processes,show consideration for student's situation,6
assessment processes,teamwork principles,17
assessment processes,work in vocational school,16
assign homework,assist students in their learning,37
assign homework,assist students with equipment,14
assign homework,compile course material,21
assign homework,curriculum objectives,37
assign homework,demonstrate when teaching,24
assign homework,develop course outline,31
assign homework,facilitate teamwork between students,15
assign homework,give constructive feedback,37
assign homework,guarantee students' safety,36
assign homework,learning difficulties,31
assign homework,liaise with educational staff,20
assign homework,liaise with educational support staff,20
assign homework,maintain students' discipline,37
assign homework,manage student relationships,37
assign homework,monitor developments in field of expertise,32
assign homework,monitor student's behaviour,20
assign homework,observe student's progress,37
assign homework,perform classroom management,33
assign homework,post-secondary school procedures,19
assign homework,prepare lesson content,37
assign homework,secondary school procedures,20
assign homework,teamwork principles,13
assign homework,work in vocational school,13
assist students in their learning,adapt teaching to target group,6
assist students in their learning,assist in children's development of basic personal skills,9
assist students in their learning,assist students with equipment,30
assist students in their learning,children's physical development,10
assist students in their learning,compile course material,24
assist students in their learning,consult students on learning content,7
assist students in their learning,control the performance of the vehicle,6
assist students in their learning,curriculum objectives,64
assist students in their learning,demonstrate when teaching,46
assist students in their learning,develop a coaching style,8
assist students in their learning,develop course outline,37
assist students in their learning,drive vehicles,6
assist students in their learning,encourage students to acknowledge their achievements,34
assist students in their learning,ensure vehicle operability,6
assist students in their learning,facilitate teamwork between students,21
assist students in their learning,give constructive feedback,79
assist students in their learning,guarantee students' safety,80
assist students in their learning,health and safety measures in transportation,9
assist students in their learning,implement care programmes for children,12
assist students in their learning,instruct on safety measures,6
assist students in their learning,interpret traffic signals,7
assist students in their learning,learning difficulties,45
assist students in their learning,liaise with educational staff,26
assist students in their learning,liaise with educational support staff,28
assist students in their learning,maintain relations with children's parents,8
assist students in their learning,maintain students' discipline,47
assist students in their learning,manage children's problems,13
assist students in their learning,manage student relationships,57
assist students in their learning,mechanical components of vehicles,6
assist students in their learning,monitor developments in field of expertise,46
assist students in their learning,monitor student's behaviour,23
assist students in their learning,observe student's progress,76
assist students in their learning,park vehicles,6
assist students in their learning,perform classroom management,53
assist students in their learning,perform defensive driving,6
assist students in their learning,post-secondary school procedures,19
assist students in their learning,prepare lesson content,64
assist students in their learning,provide lesson materials,22
assist students in their learning,road traffic laws,7
assist students in their learning,secondary school procedures,21
assist students in their learning,show consideration for student's situation,12
assist students in their learning,special needs education,6
assist students in their learning,teach driving practices,6
assist students in their learning,teamwork principles,21
assist students in their learning,work in vocational school,17
assist students with equipment,assist in children's development of basic personal skills,9
assist students with equipment,children's physical development,9
assist students with equipment,compile course material,18
assist students with equipment,curriculum objectives,40
assist students with equipment,demonstrate when teaching,32
assist students with equipment,develop course outline,28
assist students with equipment,encourage students to acknowledge their achievements,16
assist students with equipment,facilitate teamwork between students,16
assist students with equipment,give constructive feedback,47
assist students with equipment,guarantee students' safety,47
assist students with equipment,implement care programmes for children,12
assist students with equipment,learning difficulties,20
assist students with equipment,liaise with educational staff,15
assist students with equipment,liaise with educational support staff,17
assist students with equipment,maintain relations with children's parents,6
assist students with equipment,maintain students' discipline,22
assist students with equipment,manage children's problems,12
assist students with equipment,manage student relationships,29
assist students with equipment,monitor developments in field of expertise,26
assist students with equipment,observe student's progress,32
assist students with equipment,perform classroom management,37
assist students with equipment,prepare lesson content,43
assist students with equipment,provide lesson materials,9
assist students with equipment,teamwork principles,15
assist students with equipment,work in vocational school,12
assist students with equipment,write work-related reports,15
curriculum objectives,adapt teaching to target group,7
curriculum objectives,analyse staff capacity,6
curriculum objectives,assist in children's development of basic personal skills,6
curriculum objectives,assist in the organisation of school events,12
curriculum objectives,children's physical development,8
curriculum objectives,compile course material,62
curriculum objectives,cooperate with education professionals,16
curriculum objectives,curriculum standards,15
curriculum objectives,demonstrate when teaching,80
curriculum objectives,develop course outline,77
curriculum objectives,develop organisational policies,7
curriculum objectives,disability care,6
curriculum objectives,education law,10
curriculum objectives,employ pedagogic strategies to facilitate creative engagement,6
curriculum objectives,encourage students to acknowledge their achievements,22
curriculum objectives,facilitate teamwork between students,23
curriculum objectives,give constructive feedback,109
curriculum objectives,guarantee students' safety,116
curriculum objectives,health and safety measures in transportation,8
curriculum objectives,implement care programmes for children,10
curriculum objectives,instruct on safety measures,6
curriculum objectives,interpret traffic signals,6
curriculum objectives,language teaching methods,6
curriculum objectives,learning difficulties,47
curriculum objectives,liaise with educational staff,64
curriculum objectives,liaise with educational support staff,68
curriculum objectives,maintain relations with children's parents,8
curriculum objectives,maintain students' discipline,46
curriculum objectives,manage children's problems,9
curriculum objectives,manage staff,7
curriculum objectives,manage student relationships,54
curriculum objectives,monitor developments in field of expertise,86
curriculum objectives,monitor educational developments,11
curriculum objectives,monitor student's behaviour,21
curriculum objectives,observe student's progress,67
curriculum objectives,pedagogy,9
curriculum objectives,perform classroom management,87
curriculum objectives,post-secondary school procedures,20
curriculum objectives,prepare lesson content,100
curriculum objectives,present reports,12
curriculum objectives,project management,13
curriculum objectives,provide education management support,6
curriculum objectives,provide lesson materials,17
curriculum objectives,secondary school procedures,22
curriculum objectives,show an exemplary leading role in an organisation,9
curriculum objectives,show consideration for student's situation,12
curriculum objectives,special needs education,8
curriculum objectives,supervise educational staff,6
curriculum objectives,teach languages,6
curriculum objectives,teamwork principles,19
curriculum objectives,work in vocational school,16
curriculum objectives,write work-related reports,49
develop course outline,compile course material,60
develop course outline,demonstrate when teaching,60
develop course outline,facilitate teamwork between students,18
develop course outline,give constructive feedback,76
develop course outline,guarantee students' safety,76
develop course outline,learning difficulties,29
develop course outline,liaise with educational staff,56
develop course outline,liaise with educational support staff,60
develop course outline,maintain students' discipline,34
develop course outline,manage student relationships,39
develop course outline,monitor developments in field of expertise,72
develop course outline,monitor student's behaviour,19
develop course outline,observe student's progress,39
develop course outline,perform classroom management,71
develop course outline,post-secondary school procedures,19
develop course outline,prepare lesson content,77
develop course outline,provide lesson materials,6
develop course outline,secondary school procedures,19
develop course outline,teamwork principles,13
develop course outline,work in vocational school,15
develop course outline,write work-related reports,37
facilitate teamwork between students,demonstrate when teaching,8
facilitate teamwork between students,give constructive feedback,23
facilitate teamwork between students,guarantee students' safety,22
facilitate teamwork between students,instruct on safety measures,6
facilitate teamwork between students,learning difficulties,17
facilitate teamwork between students,maintain students' discipline,20
facilitate teamwork between students,manage student relationships,21
facilitate teamwork between students,monitor developments in field of expertise,17
facilitate teamwork between students,observe student's progress,21
facilitate teamwork between students,perform classroom management,18
facilitate teamwork between students,prepare lesson content,23
facilitate teamwork between students,teamwork principles,18
facilitate teamwork between students,work in vocational school,15
give constructive feedback,adapt teaching to target group,14
give constructive feedback,apply risk management in sports,6
give constructive feedback,assist in children's development of basic personal skills,10
give constructive feedback,bring out performers’ artistic potential,6
give constructive feedback,children's physical development,10
give constructive feedback,compile course material,62
give constructive feedback,consult students on learning content,7
give constructive feedback,control the performance of the vehicle,6
give constructive feedback,demonstrate when teaching,94
give constructive feedback,develop a coaching style,10
give constructive feedback,drive vehicles,6
give constructive feedback,employ pedagogic strategies to facilitate creative engagement,6
give constructive feedback,encourage students to acknowledge their achievements,36
give constructive feedback,ensure vehicle operability,6
give constructive feedback,guarantee students' safety,119
give constructive feedback,health and safety measures in transportation,9
give constructive feedback,implement care programmes for children,12
give constructive feedback,instruct in sport,8
give constructive feedback,instruct on safety measures,6
give constructive feedback,interpret traffic signals,7
give constructive feedback,language teaching methods,6
give constructive feedback,learning difficulties,45
give constructive feedback,liaise with educational staff,58
give constructive feedback,liaise with educational support staff,65
give constructive feedback,maintain relations with children's parents,9
give constructive feedback,maintain safe working conditions in performing arts,8
give constructive feedback,maintain students' discipline,47
give constructive feedback,manage children's problems,13
give constructive feedback,manage student relationships,65
give constructive feedback,mechanical components of vehicles,6
give constructive feedback,monitor developments in field of expertise,85
give constructive feedback,monitor student's behaviour,22
give constructive feedback,observe student's progress,82
give constructive feedback,park vehicles,6
give constructive feedback,perform classroom management,92
give constructive feedback,perform defensive driving,6
give constructive feedback,plan sports instruction programme,7
give constructive feedback,post-secondary school procedures,19
give constructive feedback,prepare lesson content,106
give constructive feedback,provide lesson materials,25
give constructive feedback,road traffic laws,6
give constructive feedback,secondary school procedures,21
give constructive feedback,show consideration for student's situation,12
give constructive feedback,special needs education,7
give constructive feedback,teach driving practices,6
give constructive feedback,teach languages,6
give constructive feedback,teamwork principles,22
give constructive feedback,work in vocational school,17
give constructive feedback,write work-related reports,36
guarantee students' safety,adapt teaching to target group,7
guarantee students' safety,analyse staff capacity,6
guarantee students' safety,assist in children's development of basic personal skills,9
guarantee students' safety,assist in the organisation of school events,11
guarantee students' safety,bring out performers’ artistic potential,6
guarantee students' safety,children's physical development,10
guarantee students' safety,compile course material,63
guarantee students' safety,consult students on learning content,7
guarantee students' safety,control the performance of the vehicle,6
guarantee students' safety,cooperate with education professionals,13
guarantee students' safety,curriculum standards,10
guarantee students' safety,demonstrate when teaching,87
guarantee students' safety,develop a coaching style,8
guarantee students' safety,develop organisational policies,6
guarantee students' safety,disability care,7
guarantee students' safety,drive vehicles,6
guarantee students' safety,education law,8
guarantee students' safety,employ pedagogic strategies to facilitate creative engagement,6
guarantee students' safety,encourage students to acknowledge their achievements,35
guarantee students' safety,ensure vehicle operability,6
guarantee students' safety,health and safety measures in transportation,9
guarantee students' safety,implement care programmes for children,13
guarantee students' safety,instruct on safety measures,6
guarantee students' safety,interpret traffic signals,7
guarantee students' safety,learning difficulties,49
guarantee students' safety,learning needs analysis,6
guarantee students' safety,liaise with educational staff,64
guarantee students' safety,liaise with educational support staff,68
guarantee students' safety,maintain relations with children's parents,8
guarantee students' safety,maintain safe working conditions in performing arts,8
guarantee students' safety,maintain students' discipline,48
guarantee students' safety,manage children's problems,13
guarantee students' safety,manage staff,6
guarantee students' safety,manage student relationships,63
guarantee students' safety,mechanical components of vehicles,6
guarantee students' safety,monitor developments in field of expertise,83
guarantee students' safety,monitor educational developments,8
guarantee students' safety,monitor student's behaviour,23
guarantee students' safety,observe student's progress,84
guarantee students' safety,park vehicles,6
guarantee students' safety,pedagogy,8
guarantee students' safety,perform classroom management,93
guarantee students' safety,perform defensive driving,6
guarantee students' safety,post-secondary school procedures,20
guarantee students' safety,prepare lesson content,104
guarantee students' safety,present reports,10
guarantee students' safety,project management,10
guarantee students' safety,provide lesson materials,24
guarantee students' safety,road traffic laws,7
guarantee students' safety,secondary school procedures,23
guarantee students' safety,show an exemplary leading role in an organisation,8
guarantee students' safety,show consideration for student's situation,13
guarantee students' safety,special needs education,8
guarantee students' safety,teach driving practices,6
guarantee students' safety,teamwork principles,21
guarantee students' safety,work in vocational school,16
guarantee students' safety,write work-related reports,47
instruct on safety measures,learning difficulties,6
instruct on safety measures,maintain students' discipline,6
instruct on safety measures,manage student relationships,6
instruct on safety measures,monitor developments in field of expertise,6
instruct on safety measures,observe student's progress,6
instruct on safety measures,prepare lesson content,6
instruct on safety measures,work in vocational school,6
learning difficulties,assist in children's development of basic personal skills,6
learning difficulties,children's physical development,8
learning difficulties,compile course material,19
learning difficulties,demonstrate when teaching,31
learning difficulties,disability care,6
learning difficulties,encourage students to acknowledge their achievements,15
learning difficulties,implement care programmes for children,9
learning difficulties,learning needs analysis,7
learning difficulties,liaise with educational staff,21
learning difficulties,liaise with educational support staff,23
learning difficulties,maintain relations with children's parents,7
learning difficulties,maintain students' discipline,38
learning difficulties,manage children's problems,9
learning difficulties,manage student relationships,42
learning difficulties,monitor developments in field of expertise,30
learning difficulties,monitor student's behaviour,20
learning difficulties,observe student's progress,43
learning difficulties,perform classroom management,39
learning difficulties,post-secondary school procedures,16
learning difficulties,prepare lesson content,43
learning difficulties,provide lesson materials,11
learning difficulties,secondary school procedures,17
learning difficulties,show consideration for student's situation,6
learning difficulties,special needs education,7
learning difficulties,teamwork principles,15
learning difficulties,work in vocational school,13
maintain students' discipline,assist in children's development of basic personal skills,7
maintain students' discipline,children's physical development,8
maintain students' discipline,compile course material,22
maintain students' discipline,demonstrate when teaching,28
maintain students' discipline,encourage students to acknowledge their achievements,11
maintain students' discipline,implement care programmes for children,10
maintain students' discipline,liaise with educational staff,21
maintain students' discipline,liaise with educational support staff,20
maintain students' discipline,maintain relations with children's parents,6
maintain students' discipline,manage children's problems,11
maintain students' discipline,manage student relationships,46
maintain students' discipline,monitor developments in field of expertise,34
maintain students' discipline,monitor student's behaviour,21
maintain students' discipline,observe student's progress,47
maintain students' discipline,perform classroom management,39
maintain students' discipline,post-secondary school procedures,19
